src_ip,dst_ip,protocol,time_bin,start_time,end_time,packet_count,total_bytes,mean_pkt_len,std_pkt_len,min_pkt_len,max_pkt_len,duration_s,packets_per_s,bytes_per_s
142.250.117.91,192.168.68.114,17,29512420,1770745235.57557,1770745235.651001,11,9968,906.1818181818181,532.6981918838881,72,1298,0.07543087005615234,145.82888931032304,132147.48805866364
142.250.117.91,192.168.68.114,17,29512421,1770745276.551109,1770745276.618334,14,7451,532.2142857142857,554.8815782976274,69,1298,0.06722497940063477,208.25592101063265,110836.77624644455
142.250.117.94,192.168.68.114,6,29512415,1770744917.948704,1770744918.79007,594,850721,1432.1902356902358,217.47930258896318,72,1472,0.8413660526275635,705.9947310031752,1011118.760191502
142.250.117.94,192.168.68.114,6,29512416,1770744964.135227,1770745009.266659,4,288,72.0,0.0,72,72,45.131432056427,0.08863002607581504,6.381361877458683
142.250.117.94,192.168.68.114,6,29512417,1770745054.297318,1770745054.297409,2,144,72.0,0.0,72,72,9.107589721679688e-05,21959.706806282724,1581098.890052356
142.250.117.94,192.168.68.114,6,29512418,1770745099.346376,1770745099.346425,2,144,72.0,0.0,72,72,4.9114227294921875e-05,40721.398058252424,2931940.660194175
142.250.117.94,192.168.68.114,6,29512419,1770745144.36797,1770745158.803706,6,578,96.33333333333333,37.69703790308552,72,145,14.435735940933228,0.4156352003493434,40.03952430032009
142.250.117.94,192.168.68.114,17,29512415,1770744918.774702,1770744918.833023,10,9048,904.8,557.0381594748344,72,1298,0.05832099914550781,171.46482650358112,155141.3750204402
142.250.117.94,192.168.68.114,17,29512427,1770745651.36241,1770745675.910804,68,10574,155.5,236.76756660703117,70,1298,24.548393964767456,2.7700386468294225,430.74100958197516
142.250.117.94,192.168.68.114,17,29512428,1770745689.555062,1770745739.217759,161,15588,96.81987577639751,33.83191692003975,71,175,49.662696838378906,3.241869859060505,313.8774370374854
142.250.117.95,192.168.68.114,6,29512420,1770745228.115181,1770745228.844246,22,9463,430.1363636363636,549.8489225799553,72,1472,0.72906494140625,30.175638342402678,12979.639347007116
142.250.117.95,192.168.68.114,6,29512421,1770745273.896438,1770745273.896438,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.117.95,192.168.68.114,6,29512422,1770745320.494106,1770745365.544242,2,144,72.0,0.0,72,72,45.05013585090637,0.04439498266151758,3.196438751629266
142.250.117.95,192.168.68.114,6,29512423,1770745410.693785,1770745410.693785,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.117.95,192.168.68.114,6,29512424,1770745455.718071,1770745468.853742,3,289,96.33333333333333,42.14656965084268,72,145,13.135670900344849,0.22838574616856772,22.00116021423869
142.250.117.95,192.168.68.114,17,29512420,1770745228.811236,1770745234.638619,18,10404,578.0,568.5061953203739,72,1298,5.827383041381836,3.0888650826927098,1785.3640177963864
142.250.117.95,192.168.68.114,17,29512421,1770745272.604663,1770745291.683666,16,7050,440.625,485.8953076538196,71,1298,19.07900309562683,0.8386182401567627,369.5161620690736
142.250.117.95,192.168.68.114,17,29512423,1770745403.013836,1770745403.0509,12,5000,416.6666666666667,491.2953811253995,70,1298,0.0370640754699707,323.7636403401562,134901.51680839842
142.250.129.100,192.168.68.114,6,29512420,1770745238.121883,1770745238.235588,16,11099,693.6875,648.5626897224354,72,1472,0.11370515823364258,140.71481231416985,97612.1063671857
142.250.129.100,192.168.68.114,6,29512421,1770745283.6698,1770745283.6698,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.129.100,192.168.68.114,6,29512422,1770745328.689288,1770745373.734358,2,144,72.0,0.0,72,72,45.0450701713562,0.044399975233511434,3.1967982168128235
142.250.129.100,192.168.68.114,6,29512423,1770745418.793488,1770745418.793488,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.129.100,192.168.68.114,6,29512424,1770745463.85001,1770745478.256697,3,289,96.33333333333333,42.14656965084268,72,145,14.406687021255493,0.20823663313944613,20.06012899243331
